Smiles,Adduct,CCS,Predicted_CCS,m/z,Cluster
Clc1ccc(cc1)CN1C(=O)NC(C1=O)(C)c1ccc2c(c1)cccc2,[M-H]-,190.16,185.2198,363.8242000000001,2
CN(C(=O)CSc1nnc(n1Cc1ccccc1)c1cccnc1)Cc1sccc1C,[M+H]+,206.1,206.97302,450.61280000000016,2
CCC(C(=O)N(CC(=O)Nc1cc(C)ccc1C)C)Oc1ccccc1,[M+Na]+,192.47,195.60182,377.4398000000001,2
CCc1ccccc1Nc1nc(CSc2nnc(o2)c2ccccc2F)nc(n1)N,[M+H]+,196.02,194.43103,424.4848000000001,2
O=S(=O)(c1ccc2c(c1)OCCO2)N(Cc1cccs1)CCc1ccccc1,[M+H]+,184.09,194.38339,416.5438,2
O=C(CSc1ccccc1)NCc1ccc(cc1)Cl,[M+H]+,168.72,164.3261,292.8108,2
CCC1(NC(=O)N(C1=O)CC(=O)c1ccc(cc1F)F)c1ccccc1,[M+H]+,180.7,181.81973,359.3518,2
CCN1C(=O)C(=O)N(C1=O)CC(=O)Nc1cc(C)ccc1C,[M+H]+,175.6,173.51276,304.3258,2
C#CCNS(=O)(=O)c1ccc(cc1)C(=O)N1CCCCC1,[M+Na]+,188.77,187.43506,329.3768000000002,2
O=C(Nc1cccc(c1)NC(=O)N)CCOc1ccccc1c1ccccc1,[M+H]+,188.4,196.39743,376.4358,2
O=C(C(SC1CCCC1)C)Nc1ccc2c(c1)OCO2,[M+H]+,171.51,168.15706,294.39580000000007,2
CC(=O)N1CCN(CC1)c1ccc(cc1)Oc1ncnc2c1ccs2,[M+Na]+,185.23,188.85019,377.4248000000001,2
Clc1cccc(c1)c1occ(n1)CSc1nncn1Cc1ccco1,[M+H]+,186.41,183.93858,373.8448000000001,2
Cc1onc(c1c1nnc(o1)CN(C1CC1)Cc1c(F)cccc1Cl)c1ccccc1,[M+H]+,196.98,198.82538,439.8978,2
COc1cccc(c1)c1nnc(n1Cc1ccco1)SC(C(=O)NCc1ccccc1)C,[M+Na]+,205.19,205.54568,471.5378000000001,2
CN(c1ccc(cc1)C(=O)OCC(=O)N1CCCC1)C,[M+H]+,177.9,171.15457,277.3438,2
O=C(N1CCCC1c1ccc2c(c1)OCCCO2)CCc1ccc(cc1)S(=O)(=O)N1CCCCC1,[M+Na]+,211.9,218.22252,521.6348000000004,2
O=C(Nc1ccccc1Oc1ccccc1)CN1C(=O)C2C(C1=O)CCCC2,[M-H]-,198.88,193.30872,377.42020000000025,2
CCOc1ccc(cc1)OCCC(=O)Nc1c(C)n(n(c1=O)c1ccccc1)C,[M-H]-,207.14,201.71814,394.4512000000001,2
O=C1NC(C(=O)N1CN1CCCC1c1nc2c(s1)cccc2)(Cc1ccccc1)Cc1ccccc1,[M-H]-,227.37,217.41309,495.6282000000002,2
CCCN(C1CCc2c(C1)cccc2)C(=O)CCc1c[nH]c2c1cccc2,[M-H]-,186.56,188.86905,359.49320000000006,2
O=C(Nc1ccccc1SCc1ccccc1)CN1CCN(CC1)c1ccccn1,[M+H]+,201.44,201.54529,419.5738000000002,2
O=C(NC(c1ccc(cc1)c1ccccc1)C)CNC(=O)c1ccc2c(c1)OCO2,[M-H]-,214.93,210.83228,401.4422000000002,2
O=C(N1CCN(CC1)c1ccccn1)CSc1nnc(n1Cc1ccco1)c1ccccc1,[M-H]-,213.95,214.4872,459.5552000000002,2
O=C(C1CCCN1C(=O)C12CC3CC(C2)CC(C1)C3)Nc1ccc(cc1C)Cl,[M+Na]+,209.43,206.63425,423.9398000000001,2
O=C(CN1C(=O)NC2(C1=O)CC(C)CC(C2)(C)C)NCC1CCCCC1,[M-H]-,193.32,191.5875,362.4942000000002,2
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,[M+Na]+,185.7,189.92943,375.0611659,2
COC(=O)CC1C(=O)NCCN1S(=O)(=O)c1ccc(cc1)C(F)(F)F,[M-H]-,185.73,182.09793,379.3362,2
CCN(C(=O)CCN1C(=O)C2C(C1=O)CC=CC2)CC1COc2c(O1)cccc2,[M+H]+,191.56,191.18343,399.46680000000015,2
O=C(c1ccc(s1)CNC(=O)C)Cn1cc(ccc1=O)C(F)(F)F,[M+H]+,178.04,177.70364,359.3488,2
COc1ccc(cc1)c1nnc(n1CC1CCCO1)SCC(=O)N1CCC(=N1)c1ccccc1,[M+H]+,224.23,220.63324,478.5978000000002,2
C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,[M+H]+,160.6,160.29231,273.0762735,2
O=C(N1CCC(CC1)c1nc2c(s1)cccc2)CSc1nnnn1Cc1ccccc1,[M-H]-,221.8,208.95352,449.5852000000002,2
O=C(Cn1c(C)nc2c(c1=O)cnn2c1ccccc1)Nc1ccccc1Cc1ccccc1,[M-H]-,202.92,216.26111,448.5062000000002,2
NC(=O)CN(C1CC1)Cc1ccc(cc1)C,[M+H]+,150.86,147.09988,219.3078,2
O=C(C1CCN(CC1)C(=O)C)NCC(c1c[nH]c2c1cccc2)c1ccc(cc1)N(C)C,[M+Na]+,212.11,209.18057,455.5578000000002,2
O=C(C1CCCO1)Nc1nnc(s1)SCc1ccc(cc1)F,[M+H]+,176.27,175.84575,340.4248,2
C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.OP(=O)(O)O,[M+H]+,162.2,165.07013,364.1425928,2
CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,[M+H]+,188.4,182.2413,388.1239256,2
C(C(C(=O)O)O)OP(=O)(O)O,[M-H]-,124.4,126.970726,184.9851392,2
COc1ccc(cc1OC)C(=O)NCC(=O)NC(c1ccccc1)c1ccccc1,[M+Na]+,207.16,204.81549,427.45580000000007,2
CC(CN1CC(CC1=O)C(=O)NCC1(CCC1)c1ccccc1)C,[M+H]+,180.8,182.00688,329.46379999999994,2
COc1cc(OC)cc(c1)C(=O)NCC(=O)N1CCN(CC1)c1cccc(c1C)C,[M+H]+,199.24,208.22269,412.5098000000002,2
CCNC(=O)COc1ccc(cc1OC)C=C1C(=O)Nc2c1ccc(c2)Cl,[M-H]-,199.87,196.27377,385.82720000000006,2
COc1cc(OC)c(cc1N1CC(CC1=O)C(=O)N(C1CC1)Cc1cccnc1)Cl,[M+Na]+,200.24,195.29382,452.8938000000001,2
COC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)COc1ccccc1C,[M+Na]+,186.51,184.89435,389.40680000000015,2
CCC(NC(=O)CN1C(=O)C2C(C1=O)CC=CC2)CC,[M+H]+,166.74,167.22945,279.3598,2
CCc1cccc(c1NC(=O)CN(CC(=O)Nc1ccc(cc1)Cl)C)CC,[M+Na]+,211.58,205.35117,410.90080000000006,2
c1ccc(cc1)C1=CCN(CC1)Cc1nnc(o1)c1ccco1,[M+H]+,181.78,179.28531,308.3607999999999,2
O=C1NC(C(=O)N1Cc1noc(c1)C)(C)c1cccc2c1cccc2,[M+H]+,179.77,179.70485,336.37080000000003,2
Fc1ccccc1S(=O)(=O)Nc1cc(ccc1Oc1ccccc1)S(=O)(=O)N1CCOCC1,[M+Na]+,213.73,213.59558,515.5398000000002,2
N#Cc1c(C)cc(nc1SCC(=O)N1c2ccccc2NC(=O)C1(C)C)C,[M+H]+,192.1,184.95117,381.4808000000001,2
COc1cc(ccc1OC)CN(CC(=O)Nc1ccc(cc1)C(=O)N(C)C)C,[M-H]-,212.45,202.51064,384.45620000000014,2
CCOc1cc(N2CCOCC2)c(cc1NC(=O)c1cccc(c1)n1cnnn1)OCC,[M+H]+,217.08,213.98022,439.49580000000014,2
Cc1nnc(o1)CSc1nnc(n1c1ccccc1)c1cccs1,[M+H]+,180.71,182.44379,356.4558,2
CCC1CCCCN1C(=O)COC(=O)c1ccc(o1)Br,[M+Na]+,180.17,178.49536,367.1948,2
CC(c1nnc(o1)c1cccs1)Sc1nc2ccccc2c(=O)n1CC1CCCO1,[M+H]+,203.1,202.46155,441.5578000000002,2
CC(NC(=O)CCNC(=O)c1cc(F)ccc1c1ccccc1)C,[M+H]+,180.69,184.91913,329.3948,2
O=C(N1CCCC1)CN(C(=O)c1oc2c(c1C)ccc1c2cccc1)C,[M+Na]+,197.66,195.51709,373.40780000000007,2
O=C(c1ccccc1Cl)OC(C(=O)N1CCc2c1cccc2)C,[M+Na]+,182.7,181.95306,352.7728,2
COc1cc(ccc1OC)C(=O)Nc1sc2c(c1C(=O)N)CCC(C2)C,[M+H]+,194.28,195.49191,375.4698000000002,2
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,[M+H]+,219.9,213.00168,478.1764399,2
O=C(N1CCN(CC1)C(=O)C)Cc1ccc(cc1)c1ccccc1,[M+Na]+,181.38,178.25594,345.3978,2
C1CC(=O)N[C@@H]1C(=O)O,[M+H]+,130.1,126.147385,130.0503931,2
C1(C(=O)NC(=O)N1)NC(=O)N,[M+Na]+,142.2,141.88615,181.0337901,2
CC(C(C(=O)N1CCN(CC1)c1ncccn1)NC(=O)C)C,[M+H]+,168.2,172.55536,306.3898000000001,2
COc1ccc(cc1OC)CCNC(=O)COC(=O)c1ccc(cc1)S(=O)(=O)C,[M-H]-,203.52,208.11864,420.46320000000014,2
OC(CN1CCN(CC1)S(=O)(=O)Cc1ccccc1)COc1ccc(cc1)c1ccccc1,[M+H]+,218.56,216.15152,467.61080000000015,2
CCOc1cc(ccc1OCC(=O)N1CCOCC1)C(=O)NCc1cccc(c1)C(F)(F)F,[M+H]+,220.38,214.1683,467.4638000000001,2
O=C(CSc1nnc(n1C1CC1)c1cccs1)NCc1ccco1,[M+H]+,185.94,183.90582,361.4718,2
CCC1(NC(=O)N(C1=O)CC(=O)N1CCC(CC1)Cc1ccccc1)c1cccc(c1)Cl,[M-H]-,205.96,203.95349,452.96220000000005,2
COc1ccc(cc1)c1scc(n1)CSc1nnc(n1C)c1cccnc1,[M+H]+,196.57,195.76218,396.52080000000007,2
CCCN(C(=O)CSc1nnc(o1)c1ccc2c(c1)OCO2)Cc1nnc(o1)c1cccs1,[M+Na]+,213.38,219.78444,508.53680000000026,2
O=C(c1ccc(cc1)S(=O)(=O)N1CCCC1)OCc1ccccc1,[M+Na]+,206.7,194.01462,368.4098,2
Fc1ccc(cc1)c1oc(=O)n(n1)CC(=O)N1CCc2c(C1c1cccs1)ccs2,[M-H]-,201.28,206.2266,440.50120000000015,2
CSCCC(C(=O)OC)NC(=O)CC1Sc2ccccc2NC1=O,[M-H]-,183.16,180.65121,367.4722000000001,2
CCN1C(=O)C(=O)N(C1=O)CC(=O)c1ccc(cc1)C(C)C,[M+H]+,173.75,174.90355,303.3378,2
CCOc1ccc(cc1)N1CC(CC1=O)C(=O)NCc1ccc(cc1)F,[M-H]-,203.51,195.39142,355.3892000000001,2
O=C(N1CCC(=N1)c1ccccc1)CSc1nnc(o1)c1ccccc1Br,[M+H]+,200.77,200.86626,444.3338000000001,2
C=CCN(C(=O)CSc1nnc(n1CC)c1ccc(cc1)Cl)CC=C,[M+Na]+,200.06,200.33539,399.9028000000001,2
CCCCOC1=C(C=CC(=C1)CC2CNC(=O)N2)OC,[M+K]+,169.4,169.04126,317.2613426,2
Oc1ccc(cc1)C(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,[M+H]+,175.54,175.29112,315.3088,2
CCN(S(=O)(=O)c1cc(NC(=O)c2cccs2)c(c(c1)C)C)CC,[M-H]-,186.39,184.59422,365.5002000000002,2
Cc1ccc(c(c1)C)n1c(nnc1c1cccnc1)SC(C(=O)N(C)C)c1ccccc1,[M+H]+,201.98,206.31174,444.58380000000017,2
COc1ccc(cc1)c1nnc(n1c1ccc(cc1)C)SCC(=O)N1CCC(CC1)C,[M+H]+,211.3,212.90424,437.5888000000003,2
CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,[M+K]+,196.5,199.65819,429.3389242,2
O=c1n(ncc2c1nn(c2)c1ccccc1)CN1CCN(CC1)c1ncccn1,[M+Na]+,190.68,203.37143,411.4248000000002,2
O=C(NC12CC3CC(C2)CC(C1)C3)CN(S(=O)(=O)c1ccc(cc1)F)C,[M+Na]+,201.23,201.60641,403.4748000000001,2
Clc1ccc(cc1)c1nnn(n1)CC(=O)N1CCN(CC1)c1ccccc1,[M+H]+,192.27,192.341,383.8628000000001,2
CCn1nnnc1SCC(=O)NC(C)C,[M+H]+,150.92,149.62506,230.3168,2
O=C(Cc1cc(F)cc2c1OCOC2)Nc1cccc(c1)C(=O)NC1CC1,[M+H]+,195.8,187.75613,371.3878000000001,2
COc1cc(cc(c1Br)OC)C(=O)NCc1ccco1,[M-H]-,173.58,175.43462,339.1652000000001,2
O=C1CCN(CC1)C(=O)C(NC(=O)C(c1ccccc1)c1ccccc1)Cc1ccccc1,[M+Na]+,206.79,208.77304,463.5328000000002,2
O=C(c1cc(ccc1C)S(=O)(=O)N)NCCCn1ccc2c1cccc2,[M+H]+,182.47,189.86046,372.4698,2
C1=CC(=CC=C1CSC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,[M+Na]+,189.9,185.66225,418.9919525,2
CCCCn1c(=O)[nH]c(=O)c(c1N)N(CC(=O)NC(c1ccc(cc1)C)CC)CC,[M+H]+,215.09,206.862,416.54580000000016,2
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,[M+Na]+,175.1,178.34137,365.1060115,2
O=C(N(C(C)(C)C)Cc1ccccc1)CSc1nnc(n1c1ccccc1F)c1cccnc1,[M+H]+,217.43,217.24776,476.6008000000001,2
CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C,[M+K]+,169.8,181.11313,365.2435843,2
CCCCNC(=O)NC(=O)CN1C(=O)NC2(C1=O)CCCCCC2,[M+Na]+,197.34,198.65436,361.3978000000002,2
COc1cc(C=CC(=O)c2ccc(cc2)N2CCOCC2)cc(c1O)OC,[M+Na]+,168.92,212.55875,392.4068000000002,2
CC(=O)OC1=CC=CC(=C1OC(=O)C)C(=O)O,[M+Na]+,150.1,151.05862,261.037538,2
C1CCC(C1)n1nnnc1SCc1onc(n1)c1cccs1,[M+H]+,177.27,175.72278,335.43780000000004,2
O=C(CN1C(=O)NC(C1=O)(C)c1cccc(c1)Br)NCCc1ccc(cc1Cl)Cl,[M-H]-,201.35,200.80414,498.18420000000015,2
O=C(N1CCC(=N1)c1ccccc1)CSc1nnc(n1c1ccccc1)COc1ccccc1C,[M+H]+,224.27,217.76828,484.6048000000002,2
O=C(Cn1nnc(n1)c1cccc(c1)C(F)(F)F)Nc1cccc(c1)F,[M+H]+,189.3,188.86316,366.2978,2
Cc1cccc(c1)CSc1nc2ccsc2c(=O)n1C,[M+H]+,163.02,164.64835,303.43180000000007,2
C=CCNC(=O)COC(=O)c1c(C)c(nc2c1cccc2)c1ccccc1,[M+H]+,193.23,192.48851,361.4208,2
Cc1cccc(c1)N(C(=O)COc1cccc(c1)n1cnnn1)Cc1ccccc1,[M+Na]+,193.69,201.02744,422.4438000000001,2
O=C(N1CCNC1=O)CNc1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCCCC1,[M-H]-,199.97,209.62247,450.54120000000046,2
O=C(Nc1ccccc1OC(F)F)COC(=O)c1ccccc1SCC(=O)N1CCCC1,[M-H]-,200.65,198.31035,463.48220000000026,2
CCN(C(=O)c1cccc(c1)NC(=O)C)Cc1ccc(cc1)N(C)C,[M-H]-,200.79,195.21732,338.43120000000005,2
COc1cc(ccc1OC(F)F)C(=O)Nc1cccc(c1)S(=O)(=O)N1CCOCC1,[M+H]+,206.04,204.41074,443.44780000000026,2
CC(c1ccco1)NCc1cn(nc1c1cccnc1)Cc1ccccc1,[M+H]+,191.48,189.42932,359.4528000000001,2
O=C(N1CCN(CC1)C(=O)c1ccccc1)C1CCN(CC1)S(=O)(=O)c1ccc2c(c1)OCCO2,[M+Na]+,214.75,216.27888,522.5788000000003,2
CN(CC(COc1ccc(cc1)C(=O)C)O)CCOc1ccc(cc1)Br,[M+H]+,194.48,198.28088,423.3268,2
O=C(O)C1OC(Oc2ccc3c(=O)cc(-c4ccccc4)oc3c2)C(O)C(O)C1O,[M+H]+,196.1,192.733,415.1028822,2
O=C(c1nn(Cc2ccccc2)c(=O)c2c1cccc2)N1CCN(CC1)S(=O)(=O)c1ccc2c(c1)OCCO2,[M-H]-,227.57,221.53064,545.5972000000003,2
Fc1ccc(cc1)c1cnc(o1)CSc1nnnn1C1CC1,[M+H]+,175.41,173.8833,318.3568,2
O=c1cc(Cn2cc(ccc2=O)C(F)(F)F)c2c(o1)c(C)c(cc2)C,[M-H]-,178.63,179.34073,348.3002000000001,2
COC(=O)CC(c1cccs1)NS(=O)(=O)c1ccccc1c1ccccc1,[M-H]-,187.6,189.59036,400.50120000000015,2
O=C(Nc1c(=O)n(n(c1C)C)c1ccccc1)CCOc1ccccc1,[M+Na]+,191.87,194.89488,374.3958000000001,2
CC(CCNC(=O)CN1C(=O)NC(C1=O)(C)c1ccc2c(c1)OCO2)C,[M-H]-,186.0,188.96844,360.39020000000016,2
O=C(N(C1CC1)Cc1ccccc1F)CN1CCN(CC1)c1ccccn1,[M+Na]+,193.71,190.53519,391.4458000000001,2
COC1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N,[M-H]-,154.3558371,156.2887,233.0926423,2
CC(NC(=O)Nc1ccc(cc1)Cl)CCc1ccc(cc1)O,[M-H]-,186.4,183.43303,317.7962,2
O=C(c1cn(nc1c1ccccc1)Cc1ccccc1Cl)NCCN1CCOCC1,[M-H]-,217.15,214.53807,423.9242000000003,2
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC=C3O2)O,[M+Na]+,159.6,160.66205,261.0527942,2
CN(S(=O)(=O)c1c(C)cc(cc1C)C(C)(C)C)CC(=O)NC1CC1,[M+Na]+,200.54,198.86131,375.4898000000001,2
O=C(Nc1c(C)cccc1C)CNCc1ccccc1Cl,[M+H]+,172.31,169.51822,303.8127999999999,2
O=C(c1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCCCC1)N1CCc2c(C1)cccc2,[M+H]+,214.91,215.40578,470.61480000000034,2
CCN(C(=O)COC(=O)c1cccnc1SC)C1CCCCC1,[M+H]+,190.33,182.53513,337.4648000000002,2
C[C@@]12CCC3C(=C1CC(O[C@H]2C4=COC=C4)O)C[C@H]5[C@@H](C([C@@H]([C@@]3(C5=O)C)CC(=O)OC)(C)C)O,[M+H-H2O]+,203.6,198.11218,454.2311035,2
O=C(c1ccccc1c1ccccc1)Nc1ccccc1C(=O)C,[M-H]-,175.01,175.51912,314.3642000000001,2
O=C(CN1C(=O)NC(C1=O)(C)c1ccc(cc1)C)NC(c1ccccc1)C,[M+Na]+,186.09,191.77185,388.42280000000005,2
COc1cc(NC(=O)CC2CC3CC2CC3)cc(c1)OC,[M+H]+,175.34,173.60422,290.3828,2
Brc1ccc(cc1)S(=O)(=O)NCCCOCc1ccccc1,[M-H]-,183.09,181.64334,383.2872000000002,2
CCNC(=O)C(NC(=O)c1ccc(cc1)S(=O)(=O)N(C)C)C,[M-H]-,183.48,181.00722,326.3982000000001,2
Cc1ccc(cc1)c1noc(n1)CN1CCN(CC1)c1nc2ccccc2nc1C,[M+H]+,192.29,201.4194,401.4938000000001,2
COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,[M+Na]+,181.4367296,174.1275,307.0582735,2
O=C(N1CCN(CC1)S(=O)(=O)C=Cc1ccccc1)CSc1nccn1Cc1ccccc1,[M+H]+,216.39,209.29443,483.6388000000002,2
O=C(Nc1ccnn1Cc1ccc(cc1)Cl)Cc1csc(n1)c1ccccc1,[M+H]+,194.29,191.95453,409.9218000000001,2
C1=CC=C(C=C1)OP(=O)(O)OC2=CC=CC=C2,[M-H]-,152.82,156.64172,249.0316955,2
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,[M+HCOO]-,202.1,204.54187,452.2967243,2
CCOC(=O)C1CCCCN1C(=O)CSc1nnc(n1c1ccc(cc1)C)c1ccccc1OC,[M+H]+,216.94,218.31425,495.62480000000016,2
COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,[M+H]+,166.2,165.75838,311.0813759,2
COc1ccc(cc1F)CN1CCN(CC1)C(=O)c1sc2c(c1)CCC2,[M+H]+,197.49,193.49802,375.4888000000001,2
N#Cc1ccccc1S(=O)(=O)N(C(C)C)Cc1ccccc1,[M+Na]+,171.34,178.09201,337.3998,2
O=C(COC(=O)c1ccc(cc1)Br)NCC1CCCO1,[M+H]+,174.77,172.99817,343.1968000000001,2
CCCC(=O)Nc1scc(n1)c1ccc(o1)CNC(=O)C,[M+Na]+,175.37,179.27264,330.3648,2
COc1ccc(cc1)CCNC(=O)c1ccccc1NC(=O)CSc1nnc(o1)c1ccccc1,[M-H]-,211.2,219.43065,487.5612000000002,2
Brc1ccccc1c1nnc(o1)CSc1nnnn1c1ccccc1,[M+H]+,190.13,184.72623,416.2838,2
O=C(Cc1c(C)nc2n(c1C)ncn2)Nc1ccc(cc1)c1ccccc1,[M+H]+,191.56,194.03491,358.42480000000006,2
O=C(Cc1c[nH]c2c1cccc2)Nc1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCOCC1,[M+H]+,213.71,217.44402,485.58580000000046,2
COc1cccc(c1)c1nnc(n1c1ccc(cc1)C)SC1CCOC1=O,[M+H]+,187.02,186.72595,382.46480000000014,2
S=P(OCC)(OCC)SCN1N=NC2=C(C=CC=C2)C1=O,[M+Na]+,175.58,178.72871,368.02687,2
O=C(Nc1sc(c(n1)c1ccco1)c1ccco1)Cn1cnnn1,[M-H]-,197.12,179.64801,341.3322000000001,2
Cc1nnc(s1)SCCCn1c(=O)c2n(C)cnc2n(c1=O)C,[M+H]+,179.25,176.51013,353.4528,2
CCOC(=O)Cc1csc(n1)SCC(=O)N1c2ccccc2NC(=O)C1(C)C,[M-H]-,189.58,192.63588,418.52020000000016,2
O=C(CN1C(=O)NC(C1=O)(C)c1ccc(cc1)C(C)(C)C)NCCc1ccc(cc1)F,[M+H]+,208.2,207.74838,426.5118000000001,2
O=C(N1CCN(CC1)c1ccc(cc1)O)Cc1ccc(cc1)NC(=O)C,[M-H]-,186.88,193.71094,352.4142000000001,2
O=C(c1ccccc1c1ccc(cc1)Cn1cccn1)Nc1ccc2c(c1)OCCO2,[M-H]-,200.62,203.83388,410.4532000000002,2
COC(=O)CNC(=O)CSc1nc2sc3c(c2c(=O)n1c1ccccc1)CCCC3,[M+Na]+,204.16,202.6074,466.5398000000003,2
O=C(c1cn(nc1c1ccccc1)c1ccccc1)N1CCN(CC1)S(=O)(=O)C,[M-H]-,202.71,202.08357,409.49120000000033,2
O=C(c1ccccc1SCC1CCCO1)N1CCN(CC1)Cc1nc2c(s1)cccc2,[M+Na]+,205.41,208.44388,476.6228000000002,2
COCCNC(=O)CSc1nnc(n1c1ccccc1)c1ccncc1,[M+H]+,197.16,189.59167,370.4578,2
O=C(Nc1ccc(cc1)Oc1ccccc1)COc1ccc(cc1)NC(=O)C,[M+H]+,205.03,203.02997,377.4198,2
CC(NC(=O)c1ccccc1)CC(=O)N1CCCCC1,[M+H]+,168.81,168.83829,275.37179999999995,2
O[C@H]1[C@@H](O[C@H](C)C[C@@H]1N([H])C)O[C@@H]([C@](C[C@@H](C)C([C@H](C)[C@H]2O)=O)(C)OC)[C@@H](C)[C@@H]([C@@H](C)C(O[C@H](CC)[C@@]2(C)O)=O)O[C@@H](C3)O[C@@H](C)[C@@H]([C@]3(C)OC)O,[M+H]+,263.18,263.7487,734.4690412,2
O1CCN(CC1)C(c1ccccc1)CNc1nc2c(s1)cccc2,[M-H]-,185.15,185.81384,338.4562,2
CC(=O)Nc1ccccc1OCC(=O)N(Cc1ccco1)C,[M+H]+,167.9,169.62234,303.3378,2
O=C(C1CC2CCC(C1)C12SCCS1)Nc1ccc(cc1)Nc1ccccc1,[M+Na]+,220.3,215.85626,433.59780000000006,2
O=C(CN1CC(Oc2c1cccc2)C(=O)N1CCOCC1)NC(=O)NC1CCCC1,[M-H]-,202.71,205.58511,415.4702000000003,2
CN(C(=O)c1ccc2c(c1)OCO2)Cc1ccc(cc1)C(=O)N,[M+H]+,177.15,174.72554,313.3328,2
COc1ccc(cc1NCC(=O)N1CCNC1=O)Cl,[M-H]-,160.94,165.94492,282.70719999999994,2
O=C(Nc1ccccc1C(F)(F)F)COC(=O)c1onc(c1)C,[M+H]+,171.44,167.92561,329.2538,2
O=C1CC(C)N(c2c(N1)cccc2)C(=O)CSc1nnc(o1)C1CCCCC1,[M+H]+,194.8,194.79959,401.5118000000003,2
Clc1ccc(cc1)C1=NN(C(C1)c1ccco1)C(=O)CN1CCN(CC1)C(=O)C1CCCO1,[M-H]-,231.45,216.43985,469.9492000000005,2
CC(=O)NCCNC(=O)c1cccc(c1)OC(F)F,[M-H]-,167.24,163.71864,271.24320000000006,2
CCN(C(=O)Cc1cccc2c1cccc2)CC(=O)Nc1ccc(cc1)NC(=O)C,[M-H]-,206.55,202.20953,402.4742000000001,2
Fc1ccc(cc1)c1noc(n1)COC(=O)c1ccccc1NC(=O)c1ccco1,[M-H]-,194.61,192.8483,406.3492000000001,2
CN(CC(=O)NC1CCCc2c1cccc2)CC(=O)Nc1ccc(cc1)C,[M+H]+,200.9,194.121,366.48480000000006,2
CC(=C)C1CC2=C(O1)C=CC3=C2OC4=C(C3=O)C5=CC(=C(C=C5OC4)OC)OC,[M+H]+,192.3,194.06546,393.1337884,2
O=C(CN1C(=O)NC(C1=O)(C)c1cccc2c1cccc2)NCc1ccccc1Cl,[M-H]-,198.06,195.8528,420.87620000000015,2
CCCCNC(=O)CN1C(=O)NC2(C1=O)CCc1c2cccc1,[M+Na]+,186.06,182.09467,338.3628,2
O=S(CC)CC1=CC=CC=C1OC(N([H])C)=O,[M+Na]+,153.22,158.60461,264.0670643,2
C(CS)[C@@H](C(=O)O)N,[M+H]+,130.5312267,129.53873,136.0431995,2
O=C(C(C)C)NCCNC(=O)c1cc2c([nH]1)ccc(c2)Cl,[M+H]+,176.82,177.2319,308.78880000000004,2
COc1ccc(cc1C(=O)N(Cc1ccc(cc1)C(C)(C)C)C)S(=O)(=O)N,[M-H]-,199.25,202.5719,389.4972000000002,2
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,[M+H]+,135.2,138.83255,195.0881756,2
O=C(c1ccccc1c1ccc(cc1)C(F)(F)F)Nc1ccc(c(c1)S(=O)(=O)N1CCOCC1)Cl,[M+H]+,208.92,212.9408,525.9558000000003,2
C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,[M+Na-H+HCOO]-,206.0,203.94284,476.2943744,2
CC1CCCN(C1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)N1CC(C)OC(C1)C,[M+Na]+,204.78,195.11316,447.5788000000002,2
O=C(N(Cc1ccc(cc1)N1CCOCC1)C)C1CCCN(C1)S(=O)(=O)c1cccs1,[M+Na]+,204.85,213.681,486.6148000000002,2
O=C(C1CCCN(C1)C(=O)Nc1ccccc1)N1CCN(CC1)c1ncccn1,[M-H]-,215.66,202.68018,393.4712000000003,2
